Date,Open,High,Low,Close,Volume
2022-01-03,323.0402924329226,325.59301283753035,317.67474371629686,322.4623107910156,28865100
2022-01-04,322.5394184991603,322.89586164300437,314.1491437576021,316.9330749511719,32674300
2022-01-05,313.8985991152846,314.1009117831904,304.381290295682,304.7666015625,40054300
2022-01-06,301.6551839949287,307.00147755160896,300.0561141565579,302.3583984375,39646100
2022-01-07,302.61852137240913,304.88226603603744,298.7075537396608,302.5125732421875,32720000
2022-01-10,298.1295606763108,303.16759397911807,293.50576573261736,302.7341003417969,44289500
2022-01-11,301.87678551872176,304.98820330544083,298.5149021278563,303.4180603027344,29386800
2022-01-12,307.93588346156525,311.538589841844,305.44092874443083,306.5872497558594,34372200
2022-01-13,308.7065085650938,309.10146222236773,292.8410716956861,293.6116943359375,45366000
2022-01-14,293.0819317744249,299.4107746285059,292.6002852144012,298.81353759765625,39846400
2022-01-18,292.90853854423693,298.42818916600646,290.66404916965183,291.5406494140625,42333200
2022-01-19,295.0470165949494,302.38730443677275,291.5887983066239,292.1956481933594,45933900
2022-01-20,297.72500596711825,300.21028923440434,290.0860987267936,290.5292053222656,35380700
2022-01-21,291.5792015826187,292.94706137271686,284.7590697196657,285.1636657714844,57984400
2022-01-24,281.4742645277423,286.20400792942536,265.9170569502406,285.4911804199219,85731500
2022-01-25,280.8192289411712,284.1618575908213,274.7023405114224,277.90045166015625,72848600
2022-01-26,296.6846403493407,297.17592925056107,282.27378342148563,285.8186950683594,90428900
2022-01-27,291.55032568742257,296.0199908832467,286.9939382332395,288.8338317871094,53481300
2022-01-28,289.2094904507192,297.1566583183815,283.64165765387617,296.9447326660156,49743700
2022-01-31,297.6093663560582,300.9134540935953,295.12405410178434,299.5648498535156,46444500
2022-02-01,299.0157886812132,299.2277143206684,293.929602731659,297.4263610839844,40950400
2022-02-02,298.26445765509385,303.5529275513087,297.54198780490606,301.953857421875,36636000
2022-02-03,298.12960422865086,299.8057543934319,288.94942117258597,290.19207763671875,43730000
2022-02-04,289.19027962588194,297.4649657244344,288.9590986360355,294.7099609375,35096500
2022-02-07,294.93152952709977,296.54021291337386,288.8916615798332,289.90313720703125,28533300
2022-02-08,290.1920562811641,294.34384733210226,288.9397869673649,293.38055419921875,32421200
2022-02-09,298.4956591456946,300.4800407856737,296.1067108242928,299.7864685058594,31284700
2022-02-10,292.879679406839,297.77319603906335,289.6622835734979,291.2806091308594,45386200
2022-02-11,292.06088670264677,293.1205151712114,283.420144959361,284.2100524902344,39175600
2022-02-14,282.9866171180097,285.8668836168061,280.65546416556623,284.1714782714844,36359500
2022-02-15,288.9975672412042,289.7585476106749,286.11730093278925,289.440673828125,27058300
2022-02-16,288.01215873232024,290.4253718858345,283.48496849967387,289.1029357910156,29982100
2022-02-17,286.071765783357,286.4964934172606,279.93256909754444,280.6372375488281,32461600
2022-02-18,282.87670175552876,283.65858009488875,276.3706915634675,277.9344482421875,34264000
2022-02-22,275.10620482012695,281.4191765053362,274.6235623555302,277.7317810058594,41736100
2022-02-23,280.10638276693766,281.5736347601143,270.37632332672223,270.5404052734375,37811200
2022-02-24,263.0498031628359,284.9135007247491,262.094151059809,284.36328125,56989700
2022-02-25,284.8941789810283,287.2977287820881,281.5253148914239,286.98883056640625,32546700
2022-02-28,284.0929935575526,288.7553360718081,282.8284727085798,288.41748046875,34627500
2022-03-01,286.1104916374732,289.5565664408294,282.00803005009567,284.7108459472656,31217800
2022-03-02,285.10654759375143,291.0044539337732,283.50420050610404,289.7688903808594,31873000
2022-03-03,292.37516228556973,292.60682123875046,283.84201770674827,285.6471252441406,27314500
2022-03-04,284.07375111161906,285.3961869424116,277.20092613588724,279.7975158691406,32356500
2022-03-07,278.5136040383842,279.63333786848386,268.8607566666478,269.2275695800781,43157200
2022-03-08,268.1561834951562,274.10234312414246,260.6269716528933,266.2738952636719,48159500
2022-03-09,273.6004011394195,279.54656067391153,271.0327393319232,278.4847412109375,35204500
2022-03-10,273.1949308694663,276.65066742284495,270.83963327856327,275.67572021484375,30628000
2022-03-11,277.9634336750457,279.4596429563479,269.7295545935928,270.34735107421875,27209300
2022-03-14,270.6079583933382,275.4922975054639,266.2448813621328,266.8433532714844,30660700
2022-03-15,270.6175938370436,277.8282723185702,269.05383720748546,277.1815185546875,34245100
2022-03-16,279.07355459724573,284.34403232991673,273.3687457127895,284.1702880859375,37826300
2022-03-17,283.1084425886128,285.3478813742308,279.3245124712581,284.971435546875,30816600
2022-03-18,285.11620984529543,290.55076880569743,282.56787290557435,290.00054931640625,43390600
2022-03-21,288.5140723534525,289.72067870618065,284.66256484399344,288.7746887207031,28351200
2022-03-22,289.3923936093338,294.4118867402999,288.39815136686497,293.5045166015625,27599700
2022-03-23,290.0777796338965,292.7033557846491,287.3846264690427,289.0931701660156,25715400
2022-03-24,288.7553468713274,293.6396862396896,287.96380616213776,293.54315185546875,24484500
2022-03-25,294.6338738271322,294.89449010379474,288.9000800753359,293.1376647949219,22566500
2022-03-28,293.7651423882981,300.0105369064653,293.7651423882981,299.9140319824219,29578200
2022-03-29,303.01261329342486,304.8563111504665,298.3213129462688,304.4605407714844,30393400
2022-03-30,302.86782002120697,304.9817964510435,300.76347640947125,302.9643249511719,28163600
2022-03-31,303.00296492746145,304.1999383958244,297.2016219305857,297.6070251464844,33422100
2022-04-01,298.6301848769681,299.36381082776825,294.9331566706007,298.678466796875,27110500
2022-04-04,299.3252620130999,304.1709827540647,298.95844895090045,304.0358581542969,24289600
2022-04-05,302.3947533501223,303.9392148944746,299.11279097971965,300.0877380371094,23156700
2022-04-06,294.5954112850677,296.3425752515586,286.40978166340653,289.1029357910156,40110400
2022-04-07,286.3614745193312,293.1088077819277,286.0622385020708,290.907958984375,31411200
2022-04-08,290.01015328183416,290.6665398433151,285.99456517806084,286.6606140136719,24361900
2022-04-11,281.66048690117145,282.4519981244576,275.1061942358303,275.357177734375,34569300
2022-04-12,279.1989878449197,280.6469151575573,270.75274518786716,272.26824951171875,30966700
2022-04-13,272.914995798149,278.5618885948695,271.5346160767129,277.6352233886719,21907200
2022-04-14,278.08895577007974,278.30131965119733,269.62341681375074,270.1156921386719,28221600
2022-04-18,269.22758288237094,272.654332085389,268.67736348503956,270.78167724609375,20778000
2022-04-19,269.68128222004106,276.23557450537356,268.74495475070785,275.395751953125,22297700
2022-04-20,279.35348107967593,279.64308426283594,275.46338359699905,276.41900634765625,22906700
2022-04-21,278.5618984401678,283.1180442640561,270.33768184591173,271.0616455078125,29454600
2022-04-22,271.901421279217,273.3686730601937,263.8895690490661,264.5169982910156,29405800
2022-04-25,263.80270265842034,271.35120773294403,261.37016600391445,270.9747619628906,35678900
2022-04-26,267.86659887115906,268.6967298664818,260.62696106383044,260.8393249511719,46518400
2022-04-27,272.30685567741426,280.86892738240044,269.46891592845344,273.3879699707031,63477700
2022-04-28,275.2896026631033,280.87861047579827,271.68907938541145,279.5754699707031,33646600
2022-04-29,278.59080716587056,279.8167376058599,266.9012234193171,267.88580322265625,37073900
2022-05-02,268.0693285407094,275.0483507224174,266.6310631057197,274.59466552734375,35151100
2022-05-03,274.10229991297473,274.26641131232816,270.42456669386183,271.99798583984375,25978600
2022-05-04,272.77983068105766,280.7820499971457,267.1232758393873,279.9132995605469,33599300
2022-05-05,275.6274568786791,276.40933528615983,264.816254282709,267.7217712402344,43260400
2022-05-06,265.26995885904273,269.55582646003774,261.8528418348636,265.1927490234375,37780300
2022-05-09,260.68485272752093,262.904996341923,254.1788415540158,255.39508056640625,47726000
2022-05-10,262.2582942158993,264.24677903665463,255.86811198044657,260.1443176269531,39336400
