Date,Open,High,Low,Close,Volume
2022-01-03,3281.765587398091,3351.776586595917,3277.3898999482267,3341.05615234375,2346158
2022-01-04,3352.7391471393594,3403.5407048377974,3335.7613525319584,3399.690185546875,2488606
2022-01-05,3382.406654521235,3386.7823423019872,3336.374333605073,3378.8623046875,1733031
2022-01-06,3336.024154690046,3356.152317218344,3301.0186546408327,3332.042236328125,1810293
2022-01-07,3343.024937506082,3382.318522120413,3322.371608974034,3372.342041015625,2460591
2022-01-10,3481.2970046437595,3481.2970046437595,3378.905916271884,3395.40234375,3937092
2022-01-11,3374.5307565822086,3434.9152540417967,3374.5307565822086,3426.951416015625,1906106
2022-01-12,3434.9148996056333,3438.4154498217918,3357.509025682152,3377.943359375,3203744
2022-01-13,3428.788590711219,3433.164278039845,3375.4052053019836,3411.1982421875,6684507
2022-01-14,3393.6520131101706,3480.421810089149,3378.0745230015314,3472.6767578125,3348123
2022-01-17,3494.1610084143267,3538.1804617882235,3467.5569172659402,3517.308349609375,3442604
2022-01-18,3530.261305806355,3537.0436222582607,3483.047674656349,3492.32421875,2389041
2022-01-19,3517.2211308607257,3517.2211308607257,3428.238592280874,3431.876708984375,3102539
2022-01-20,3427.800105770557,3436.5668579592284,3341.0092591027087,3354.6416015625,6176776
2022-01-21,3337.5027246819773,3376.5586504367925,3306.0301683677976,3360.734619140625,3112358
2022-01-24,3366.4326888903997,3374.892518758785,3278.852924081296,3306.2490234375,3258414
2022-01-25,3304.627198732507,3339.606453941932,3263.1604185603896,3304.977783203125,3330501
2022-01-27,3270.8759789709575,3272.9799143577297,3178.0361379761725,3199.207763671875,5718297
2022-01-28,3196.357997928472,3269.823427522156,3196.357997928472,3234.9755859375,3143862
2022-01-31,3286.6553922324565,3294.5454691943373,3262.459070603207,3275.477783203125,2739393
2022-02-01,3305.065537336786,3338.3791952728066,3275.6091647068597,3331.935546875,2105169
2022-02-02,3355.8248153763957,3387.472874793566,3331.9354168675645,3380.634765625,1984212
2022-02-03,3376.0762690799093,3403.691538484224,3345.4365129758144,3352.93212890625,1960538
2022-02-04,3344.778776998444,3353.0194378803812,3304.1886743296195,3344.427978515625,2307366
2022-02-07,3323.476158592303,3359.244554675045,3292.92393788928,3312.9560546875,1919149
2022-02-08,3323.9577111517187,3331.1025280186395,3262.108236450242,3281.78955078125,2946443
2022-02-09,3287.532283037312,3312.0353141804735,3284.1133350757727,3296.78125,1638721
2022-02-10,3322.4240945117594,3322.4240945117594,3294.5457771673173,3305.372802734375,2112459
2022-02-11,3289.723944738236,3289.723944738236,3234.9317404621156,3239.271240234375,3851488
2022-02-14,3264.739036344995,3325.448804945127,3252.4655813211416,3273.28662109375,5951745
