Date,Open,High,Low,Close,Volume
2022-01-03,1694.6439822250395,1718.2536866238245,1694.6439822250395,1704.2493896484375,3329616
2022-01-04,1704.2494699005285,1711.6107229414722,1685.8914307946536,1704.8779296875,3921999
2022-01-05,1705.6411220873179,1708.2444909797823,1651.7787708635078,1655.953125,6995719
2022-01-06,1641.0061644901782,1641.0061644901782,1615.8704026708538,1631.849609375,6449205
2022-01-07,1629.7399155826886,1648.1878132075997,1621.9748482469563,1628.7076416015625,4834389
2022-01-10,1629.3359737764672,1678.6200425032102,1627.5405622351159,1661.428955078125,7857560
2022-01-11,1665.2441133275113,1678.7096991495666,1660.8902624950238,1665.78271484375,5142287
2022-01-12,1677.7225077765943,1695.7663736901068,1669.7329036863941,1685.3978271484375,5362535
2022-01-13,1710.1293312660496,1716.8621239088293,1675.4329845969487,1702.7681884765625,14277630
2022-01-14,1689.482300136632,1735.2652955175927,1688.5845943448485,1731.9886474609375,7688506
2022-01-17,1740.2474431377093,1754.0272038314308,1733.020868358922,1741.1002197265625,5262464
2022-01-18,1725.480313542678,1746.0377984851907,1715.9197247602908,1724.2684326171875,3690315
2022-01-19,1720.0045508057144,1720.0045508057144,1672.2914590167675,1676.0618896484375,5747770
2022-01-20,1655.369343931458,1658.9601668033267,1629.7847309693936,1637.1458740234375,5533463
2022-01-21,1611.3817881916982,1623.0519627022786,1594.325379291619,1603.0330810546875,8252758
2022-01-24,1584.450634058544,1587.7272819323061,1551.2355216165236,1559.1353759765625,7116712
2022-01-25,1549.9788780052622,1562.00815815135,1526.5487775496383,1545.984130859375,9137653
2022-01-27,1527.8951296300781,1534.8074198145066,1494.6800181163808,1506.8887939453125,11231734
2022-01-28,1509.0433996097977,1550.8316470432278,1507.6968409545839,1513.71142578125,10998502
2022-01-31,1542.2584788669017,1570.536209998629,1539.8795367121913,1558.5966796875,8788872
2022-02-01,1585.4382476367502,1597.9163806155063,1557.2502626013809,1590.7796630859375,5119935
2022-02-02,1605.9954576263822,1609.406783035397,1590.7344611033814,1604.289794921875,4253717
2022-02-03,1597.0183258880895,1597.0183258880895,1556.6215722821512,1560.7061767578125,3832922
2022-02-04,1554.826382864696,1574.530980546349,1535.2115338427761,1562.9954833984375,4700077
2022-02-07,1546.0287449587365,1554.8263048355502,1521.9702974467775,1539.5653076171875,4310209
2022-02-08,1535.0770742534078,1548.5426626240517,1522.5091917741402,1541.63037109375,6053401
2022-02-09,1557.519583385622,1564.701229879619,1548.5425252681255,1559.5843505859375,3867244
2022-02-10,1576.0570055996025,1592.4401343281156,1569.8628144650563,1588.5799560546875,4334630
