Date,Open,High,Low,Close,Volume
2022-01-03,173.85319685203027,178.79026689432098,173.73588518068755,177.93971252441406,104487900
2022-01-04,178.54586564233023,178.84893075193062,175.1143499260673,175.68138122558594,99310400
2022-01-05,175.59339039534856,176.14086475419518,170.73453308424857,171.00827026367188,94537600
2022-01-06,168.83792269234627,171.3797850968752,167.80162976232634,168.15357971191406,96904000
2022-01-07,169.0236630282213,170.2457092977057,167.2052575825263,168.31976318359375,86709100
2022-01-10,165.29888813158135,168.64240533418686,164.40923476090865,168.33934020996094,106765600
2022-01-11,168.46641535499305,171.26244286002324,166.99995985190662,171.16468811035156,76138300
2022-01-12,172.1814317936139,173.21772467571947,170.91051556767007,171.60462951660156,74805200
2022-01-13,171.84905393496265,172.6702655459411,167.94827640647682,168.33934020996094,84505800
2022-01-14,167.50833831927105,169.89377524696252,167.26392904254132,169.1996612548828,80440800
2022-01-18,167.6745127192973,168.68147761318977,165.62148401611884,166.0027618408203,90956700
2022-01-19,166.19834645502328,167.25419656378617,162.2291412735544,162.5126495361328,94815000
2022-01-20,163.24586569234862,165.8854833139809,160.50847837757559,160.8311004638672,91420500
2022-01-21,160.74312175844747,162.61041256635795,158.67053547305395,158.778076171875,122848900
2022-01-24,156.44149634340394,158.67050778679211,151.24045969712583,158.00570678710938,162294600
2022-01-25,155.42475069595457,159.1202179477596,153.50859022634555,156.2068634033203,115798400
2022-01-26,159.84366081362626,160.7137572085088,154.29068942101793,156.11886596679688,108275300
2022-01-27,158.81715723147198,160.17607231774176,154.74041197266266,155.65939331054688,121954600
2022-01-28,162.0042414218655,166.5404767176366,159.1593140383979,166.5209197998047,179935700
2022-01-31,166.3547206203823,171.0864802658057,165.71924760028926,170.87139892578125,115541600
2022-02-01,170.1186272242385,170.93006781127377,168.45664712970438,170.70521545410156,86213900
2022-02-02,170.84209391826516,171.94682868403083,169.45385093947993,171.90771484375,84914300
2022-02-03,170.57810026310062,172.2987509371964,168.27087633720052,169.03343200683594,89418100
2022-02-04,168.05457472378333,170.4234840013588,167.07569202403184,168.7495880126953,82465400
2022-02-07,169.20964451994723,170.27662295458384,167.3399751947351,168.0349884033203,77251200
2022-02-08,168.1035342150904,171.6471000057892,167.80986639624405,171.13807678222656,74829200
2022-02-09,172.3322952525055,172.91961588647231,171.20657123174874,172.55743408203125,71285000
2022-02-10,170.46259150846328,171.77429042410176,167.92728951408122,168.48524475097656,90865900
2022-02-11,168.69082956541044,169.4249914689082,164.4914151129285,165.07875061035156,98670700
2022-02-14,163.83559821712237,165.9989356288058,163.04270559336564,165.313720703125,86185500
2022-02-15,167.35956986279012,169.29775335068365,166.65477315145358,169.14112854003906,62527400
2022-02-16,168.2210197498066,169.67954560224584,166.45902767436223,168.90623474121094,61177400
2022-02-17,167.41831260412283,168.2797341887302,164.91237519788157,165.313720703125,69589300
2022-02-18,166.23389408651346,166.93867600251053,162.68054453288332,163.76710510253906,82772700
2022-02-22,161.49605730830203,163.16995323151656,158.72581758393332,160.85000610351562,91162800
2022-02-23,162.04424861753867,162.64136771002168,156.3765239008277,156.6897735595703,90009200
2022-02-24,149.3579234730035,159.4110529381091,148.7901697172211,159.30337524414062,141147500
