Date,Open,High,Low,Close,Volume
2022-01-03,3281.765587398091,3351.776586595917,3277.3898999482267,3341.05615234375,2346158
2022-01-04,3352.7391471393594,3403.5407048377974,3335.7613525319584,3399.690185546875,2488606
2022-01-05,3382.406165727789,3386.7818528762077,3336.3738514637826,3378.86181640625,1733031
2022-01-06,3336.024399122429,3356.1525631255286,3301.0188965083426,3332.04248046875,1810293
2022-01-07,3343.024695487868,3382.318277257541,3322.3713684510176,3372.341796875,2460591
2022-01-10,3481.2972549604933,3481.2972549604933,3378.9061592263615,3395.402587890625,3937092
2022-01-11,3374.5300353638877,3434.914519917858,3374.5300353638877,3426.95068359375,1906106
2022-01-12,3434.914651347394,3438.4152013105504,3357.5087830184166,3377.943115234375,3203744
2022-01-13,3428.7890815103638,3433.1647694653284,3375.405688459794,3411.19873046875,6684507
2022-01-14,3393.65249028002,3480.422299459404,3378.074997981083,3472.67724609375,3348123
2022-01-17,3494.1612509482666,3538.1807073776067,3467.557157953258,3517.30859375,3442604
2022-01-18,3530.2610590136323,3537.043374991402,3483.0474311642265,3492.323974609375,2389041
2022-01-19,3517.2211308607257,3517.2211308607257,3428.238592280874,3431.876708984375,3102539
2022-01-20,3427.800105770557,3436.5668579592284,3341.0092591027087,3354.6416015625,6176776
2022-01-21,3337.5029671349207,3376.5588957269547,3306.030408534417,3360.73486328125,3112358
2022-01-24,3366.4331860598354,3374.893017177605,3278.8534083165705,3306.24951171875,3258414
2022-01-25,3304.6276869619614,3339.606947339262,3263.160900663494,3304.978271484375,3330501
2022-01-27,3270.8757293611275,3272.9796645873425,3178.0358954512144,3199.20751953125,5718297
2022-01-28,3196.358239154663,3269.823674292716,3196.358239154663,3234.975830078125,3143862
2022-01-31,3286.655882179972,3294.545960318041,3262.4595569437342,3275.478271484375,2739393
2022-02-01,3305.0660216803485,3338.3796844983467,3275.6096447337136,3331.93603515625,2105169
2022-02-02,3355.8250577253107,3387.473119428021,3331.9356574912495,3380.635009765625,1984212
2022-02-03,3376.077006557441,3403.6922819940964,3345.4372437603306,3352.932861328125,1960538
2022-02-04,3344.779509497143,3353.0201721837657,3304.189397939181,3344.4287109375,2307366
2022-02-07,3323.4756687605436,3359.2440595715475,3292.9234525604707,3312.95556640625,1919149
2022-02-08,3323.95795842934,3331.1027758277814,3262.108479126725,3281.789794921875,2946443
2022-02-09,3287.532283037312,3312.0353141804735,3284.1133350757727,3296.78125,1638721
2022-02-10,3322.4240945117594,3322.4240945117594,3294.5457771673173,3305.372802734375,2112459
2022-02-11,3289.724192681431,3289.724192681431,3234.931984275677,3239.271484375,3851488
2022-02-14,3264.7385493388015,3325.448308882763,3252.4650961457983,3273.2861328125,5951745
